Municipality,Enrollment 2019,Update Date,Choice,Number of Days In-Person K,Number of Days In-Person 1,Number of Days In-Person 2,Number of Days In-Person 3,Number of Days In-Person 4,Number of Days In-Person 5,Number of Days In-Person 6,Number of Days In-Person 7,Number of Days In-Person 8,Number of Days In-Person 9,Number of Days In-Person 10,Number of Days In-Person 11,Number of Days In-Person 12,ScheduleK,Schedule1,Schedule2,Schedule3,Schedule4,Schedule5,Schedule6,Schedule7,Schedule8,Schedule9,Schedule10,Schedule11,Schedule12
Botetourt,4672,9222020,Part In-Person,4,4,4,2,2,2,2,2,2,2,2,2,2,AARAA,AARAA,AARAA,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRA,ABRAB,ABRAB
Buena Vista,895,9222020,Part In-Person,4,4,4,4,4,4,4,4,2,2,2,2,2,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,ABABR,ABABR,ABABR,ABABR,ABABR
Campbell,7921,9222020,Part In-Person,4,4,4,4,4,4,2,2,2,2,2,2,2,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR
Covington,1018,9222020,Part In-Person,5,5,5,5,5,5,5,5,2.5,2.5,2.5,2.5,2.5,AAAAA,AAAAA,AAAAA,alt week,alt week,alt week,alt week,alt week,ABABA,ABABA,ABABA,ABABA,ABABA
Danville,5702,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Floyd,1923,9222020,Part In-Person,4,4,4,4,2,2,2,2,1,1,1,1,1,AARAA,AARAA,AARAA,AARAA,AARBB,AARBB,AARBB,AARBB,ABRCD,ABRCD,ABRCD,ABRCD,ABRCD
Frederick,13880,9222020,Part In-Person,4,4,2,2,2,2,2,2,2,2,2,2,2,AARAA,AARAA,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
Greene,2976,9222020,Part In-Person,5,5,5,5,5,5,2,2,2,2,2,2,2,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,AAAAA,RAABB,RAABB,RAABB,RAABB,RAABB,RAABB,RAABB
Madison,1726,9222020,Part In-Person,4,4,4,4,4,4,4,4,4,4,4,4,4,AARAA,AARAA,AARAA,AARAA,AARBB,AARBB,AARBB,AARBB,ABRCD,ABRCD,ABRCD,ABRCD,ABRCD
Mecklenburg,4205,9222020,Part In-Person,4,4,4,4,4,,,,,,,,,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,AAAAR,,,,,,,
Montgomery,10102,9222020,Part In-Person,4,4,4,4,4,4,2,2,2,2,2,2,2,AARAA,AARAA,AARAA,AARAA,AARAA,AARAA,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
Page,3354,9222020,Part In-Person,4,4,2,2,2,2,2,2,2,2,2,2,2,AARAA,AARAA,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB
Pittsylvania,8723,9222020,Part In-Person,4,4,4,4,2,2,2,2,2,2,2,2,2,AAAAR,AAAAR,AAAAR,AAAAR,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
Roanoke,13999,9222020,Part In-Person,5,5,5,2,2,2,2,2,2,2,2,2,2,AAAAA,AAAAA,AAAAA,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
Rockbridge,2819,9222020,Part In-Person,4,4,,,,,,,,,,,,AAAAR,AAAAR,,,,,,,,,,,
Rockingham,11928,9222020,Part In-Person,4,4,,,,,,,,,,,,AARAA,AARAA,,,,,,,,,,,
Salem,3926,9222020,Part In-Person,5,5,5,2,2,2,2,2,2,2,2,2,2,AAAAA,AAAAA,AAAAA,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
